id,title,link,source,source_link,crawled,published_date
866,Trump says coronavirus outbreak is 'all under control' and a 'very small problem' in US,https://www.cnbc.com/2020/01/30/trump-says-coronavirus-outbreak-is-all-under-control-and-is-a-very-small-problem-in-us.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:12,2020-01-30 23:24:03
867,More airlines suspend flights to and from China amid coronavirus fears,https://www.cnbc.com/2020/01/31/coronavirus-more-airlines-suspend-flights-to-and-from-china.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-31 13:31:13
868,Goldman Sachs expects coronavirus outbreak to weigh on US economic growth this quarter,https://www.cnbc.com/2020/01/31/goldman-sachs-coronavirus-to-weigh-on-us-economic-growth-this-quarter.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-31 12:15:45
869,Facebook to remove misinformation about the coronavirus,https://www.cnbc.com/2020/01/31/facebook-to-remove-misinformation-about-the-coronavirus.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-31 11:53:22
870,UK confirms its first coronavirus cases,https://www.cnbc.com/2020/01/31/uk-confirms-two-cases-of-coronavirus.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-31 11:44:19
871,Oreo maker Mondelez says coronavirus could hurt sales in first quarter,https://www.cnbc.com/2020/01/30/oreo-maker-mondelez-says-coronavirus-could-hurt-sales-in-first-quarter.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-30 21:50:57
872,State Department lets non-emergency employees leave embassy in Beijing as coronavirus spreads,https://www.cnbc.com/2020/01/30/coronavirus-state-dept-lets-non-emergency-employees-leave-beijing-embassy.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-30 21:11:19
873,WHO declares China coronavirus that's killed more than 200 a global health emergency,https://www.cnbc.com/2020/01/30/who-declares-china-coronavirus-a-global-health-emergency.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-30 23:07:55
874,Watch: WHO officials explain global threat of the coronavirus outbreak,https://www.cnbc.com/2020/01/30/watch-who-officials-announce-whether-coronavirus-is-a-global-health-emergency.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-30 19:51:24
875,CDC confirms first human-to-human transmission of coronavirus in US,https://www.cnbc.com/2020/01/30/cdc-confirms-first-human-to-human-transmission-of-coronavirus-in-us.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-31 06:43:37
876,"Coronavirus cases top 8,200 — surpassing 2003 SARS outbreak in less than a month",https://www.cnbc.com/2020/01/30/coronavirus-cases-top-8200-surpassing-2003-sars-outbreak-in-less-than-a-month.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-30 18:09:11
